       Step     Time          Energy         fmax
GPMin:   17 15:55:36       -4.609855        0.2026
GPMin:   18 15:55:46       -4.643654        0.1908
GPMin:   19 15:55:57       -4.681189        0.1677
GPMin:   20 15:56:06       -4.718874        0.1471
GPMin:   21 15:56:15       -4.751364        0.1335
GPMin:   22 15:56:25       -4.783777        0.1230
GPMin:   23 15:56:34       -4.806079        0.1136
GPMin:   24 15:56:43       -4.827593        0.0965
GPMin:   25 15:56:52       -4.843806        0.0828
GPMin:   26 15:57:01       -4.857555        0.0689
GPMin:   27 15:57:09       -4.868175        0.0568
GPMin:   28 15:57:17       -4.879409        0.0390
GPMin:   29 15:57:25       -4.884665        0.0280
GPMin:   30 15:57:34       -4.888051        0.0212
GPMin:   31 15:57:41       -4.888836        0.0214
GPMin:   32 15:57:49       -4.889138        0.0261
GPMin:   33 15:57:56       -4.889637        0.0132
       Step     Time          Energy         fmax
GPMin:    0 15:58:11       -3.158663        1.3571
GPMin:    1 15:58:21       -4.004904        0.6059
GPMin:    2 15:58:32       -4.285088        0.2590
GPMin:    3 15:58:41       -4.352350        0.0967
GPMin:    4 15:58:49       -4.361570        0.1260
GPMin:    5 15:58:57       -4.374987        0.1071
GPMin:    6 15:59:06       -4.389631        0.1244
GPMin:    7 15:59:17       -4.435864        0.0641
GPMin:    8 15:59:24       -4.437870        0.0572
GPMin:    9 15:59:45       -4.453111        0.0927
GPMin:   10 16:00:18       -4.454703        0.0424
GPMin:   11 16:00:26       -4.455228        0.0379
GPMin:   12 16:00:38       -4.477348        0.1269
GPMin:   13 16:01:03       -4.506372        0.1453
GPMin:   14 16:01:21       -4.513662        0.1721
GPMin:   15 16:01:29       -4.529497        0.1719
GPMin:   16 16:01:37       -4.561637        0.1744
GPMin:   17 16:01:46       -4.594034        0.1871
GPMin:   18 16:01:56       -4.633669        0.1987
GPMin:   19 16:02:05       -4.665819        0.2041
GPMin:   20 16:02:15       -4.724249        0.1876
GPMin:   21 16:02:26       -4.766330        0.1488
GPMin:   22 16:02:35       -4.797459        0.1055
GPMin:   23 16:02:44       -4.822993        0.0913
GPMin:   24 16:02:53       -4.841094        0.0792
GPMin:   25 16:03:01       -4.855286        0.0669
GPMin:   26 16:03:10       -4.865489        0.0613
GPMin:   27 16:03:18       -4.871657        0.0577
GPMin:   28 16:03:26       -4.883188        0.0338
GPMin:   29 16:03:34       -4.887100        0.0230
GPMin:   30 16:03:41       -4.888249        0.0276
GPMin:   31 16:03:48       -4.889135        0.0177
       Step     Time          Energy         fmax
GPMin:    0 16:04:03       -3.190846        1.3153
GPMin:    1 16:04:15       -3.979535        0.6168
GPMin:    2 16:04:26       -4.264416        0.3146
GPMin:    3 16:04:36       -4.366893        0.2043
GPMin:    4 16:04:47       -4.397291        0.2026
GPMin:    5 16:04:58       -4.481372        0.1886
GPMin:    6 16:05:07       -4.488295        0.1745
GPMin:    7 16:05:15       -4.494025        0.1630
GPMin:    8 16:05:27       -4.528302        0.2969
GPMin:    9 16:05:37       -4.551473        0.1173
GPMin:   10 16:05:47       -4.575621        0.1075
GPMin:   11 16:05:57       -4.587667        0.1569
GPMin:   12 16:06:08       -4.624991        0.1349
GPMin:   13 16:06:17       -4.652571        0.0998
GPMin:   14 16:06:26       -4.673858        0.0903
GPMin:   15 16:06:35       -4.691358        0.0894
GPMin:   16 16:06:44       -4.704908        0.0859
GPMin:   17 16:06:53       -4.719945        0.0748
GPMin:   18 16:07:02       -4.732361        0.0625
GPMin:   19 16:07:10       -4.745769        0.0785
GPMin:   20 16:07:19       -4.762092        0.0807
GPMin:   21 16:07:28       -4.781173        0.0654
GPMin:   22 16:07:37       -4.799006        0.0710
GPMin:   23 16:07:46       -4.814965        0.0607
GPMin:   24 16:07:54       -4.825998        0.0701
GPMin:   25 16:08:02       -4.836120        0.0760
GPMin:   26 16:08:11       -4.847941        0.0708
GPMin:   27 16:08:20       -4.861099        0.0589
GPMin:   28 16:08:29       -4.872275        0.0631
GPMin:   29 16:08:39       -4.880019        0.0544
GPMin:   30 16:08:47       -4.883454        0.0337
GPMin:   31 16:08:55       -4.884844        0.0273
GPMin:   32 16:09:03       -4.887325        0.0420
GPMin:   33 16:09:11       -4.888609        0.0291
GPMin:   34 16:09:20       -4.889333        0.0204
GPMin:   35 16:09:26       -4.889556        0.0157
       Step     Time          Energy         fmax
GPMin:    0 16:09:40       -3.176104        1.3492
GPMin:    1 16:09:50       -4.014562        0.6008
GPMin:    2 16:10:00       -4.290609        0.2534
GPMin:    3 16:10:09       -4.356138        0.0988
GPMin:    4 16:10:17       -4.365407        0.1259
GPMin:    5 16:10:24       -4.378997        0.1060
GPMin:    6 16:10:57       -4.401219        0.1118
GPMin:    7 16:11:18       -4.413217        0.0979
GPMin:    8 16:11:50       -4.428431        0.1206
GPMin:    9 16:11:59       -4.433019        0.0845
